product,sub_product,issue,sub_issue,submitted_via,company,month_year,state,timely,company_response,number_of_complaints
Checking or savings account,CD (Certificate of Deposit),Closing an account,Can't close your account,Postal mail,"BANK OF AMERICA, NATIONAL ASSOCIATION",March 2022,AR,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Closing an account,Can't close your account,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,February 2022,WV,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Closing an account,Can't close your account,Web,WASHINGTON FEDERAL BANK,April 2022,OR,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Closing an account,Funds not received from closed account,Web,"CITIZENS FINANCIAL GROUP, INC.",April 2022,MA,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Banking errors,Referral,"EVERBANK, NATIONAL ASSOCIATION",April 2022,FL,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Referral,"BANKUNITED, NATIONAL ASSOCIATION",January 2022,KS,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Referral,DISCOVER BANK,April 2022,DC,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Referral,"HUNTINGTON NATIONAL BANK, THE",April 2022,OH,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Referral,PNC Bank N.A.,April 2022,PA,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Web,CAPITAL ONE FINANCIAL CORPORATION,April 2022,DC,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Web,JPMORGAN CHASE & CO.,April 2022,CT,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Phone,ALLY FINANCIAL INC.,December 2021,HI,Yes,Closed with non-monetary relief,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Phone,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",April 2022,CT,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Phone,WELLS FARGO & COMPANY,April 2022,IA,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Referral,"Bread Financial Holdings, Inc.",March 2022,DC,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Referral,WELLS FARGO & COMPANY,April 2022,CT,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Web Referral,JPMORGAN CHASE & CO.,April 2022,ME,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem accessing account,Referral,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",October 2021,VT,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem accessing account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",March 2022,PR,Yes,Closed with non-monetary relief,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem with renewal,Referral,DISCOVER BANK,March 2022,DC,Yes,Closed with explanation,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem with renewal,Web,ALLY FINANCIAL INC.,April 2022,AZ,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Referral,BANK OF THE WEST,April 2022,NM,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Referral,"Bread Financial Holdings, Inc.",April 2022,IN,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,ALLY FINANCIAL INC.,April 2022,OR,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,ATLANTIC UNION BANKSHARES CORPORATION,April 2022,NC,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"AXOS FINANCIAL, INC.",April 2022,UT,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"AXOS FINANCIAL, INC.",October 2021,HI,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,CA,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,WI,Yes,Closed with non-monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",February 2022,RI,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",January 2022,ID,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,BANK OF HAWAII CORPORATION,December 2021,MP,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,BANK OF THE WEST,April 2022,CO,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"CHARLES SCHWAB CORPORATION, THE",January 2022,MT,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"CITIBANK, N.A.",April 2022,DC,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,Chime Financial Inc,April 2022,IL,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,Chime Financial Inc,March 2022,NE,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,DISCOVER BANK,April 2022,SC,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,FIFTH THIRD FINANCIAL CORPORATION,April 2022,NE,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,FIFTH THIRD FINANCIAL CORPORATION,April 2022,OH,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"HUNTINGTON NATIONAL BANK, THE",April 2022,MN,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"HUNTINGTON NATIONAL BANK, THE",April 2022,OH,Yes,Closed with non-monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,NAVY FEDERAL CREDIT UNION,November 2021,ME,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,PNC Bank N.A.,April 2022,CT,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,PNC Bank N.A.,March 2022,DE,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,Revolut Technologies Inc.,March 2022,IA,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,TD BANK US HOLDING COMPANY,September 2021,NH,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,TRUIST FINANCIAL CORPORATION,April 2022,MT,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,U.S. BANCORP,April 2022,NC,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,April 2021,SD,Yes,Closed with non-monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,April 2022,CT,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,April 2022,NM,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,April 2022,SD,Yes,Closed with non-monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,February 2022,SD,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,January 2022,NH,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,January 2022,RI,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,WELLS FARGO & COMPANY,March 2022,OR,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Phone,"CITIBANK, N.A.",March 2022,DC,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Phone,"CITIZENS FINANCIAL GROUP, INC.",April 2022,OH,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Phone,FIFTH THIRD FINANCIAL CORPORATION,November 2021,WV,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Phone,JPMORGAN CHASE & CO.,April 2022,CO,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Postal mail,WELLS FARGO & COMPANY,April 2022,VA,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,ALLY FINANCIAL INC.,April 2022,MO,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,TN,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,BOEING EMPLOYEES CREDIT UNION,July 2021,VT,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,CAPITAL ONE FINANCIAL CORPORATION,April 2022,MO,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,CAPITAL ONE FINANCIAL CORPORATION,February 2022,KS,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,"CITIBANK, N.A.",April 2022,NY,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,DISCOVER BANK,April 2022,WA,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,JPMORGAN CHASE & CO.,April 2022,LA,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,JPMORGAN CHASE & CO.,April 2022,NH,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,PENTAGON FEDERAL CREDIT UNION,April 2022,NE,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,U.S. BANCORP,April 2022,NV,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,U.S. BANCORP,January 2022,IA,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,WASHINGTON FEDERAL BANK,April 2022,OR,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,WELLS FARGO & COMPANY,December 2021,WV,Yes,Closed with non-monetary relief,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,AMERICA FIRST FEDERAL CREDIT UNION,April 2022,NJ,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"ARVEST BANK GROUP, INC.",April 2022,OK,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"ARVEST BANK GROUP, INC.",March 2022,OK,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,DE,Yes,Closed with explanation,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,FL,Yes,Closed with monetary relief,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",April 2022,MA,Yes,Closed with explanation,1
